CPU_Frequency (GHz),RAM (GB),Memory,Weight (kg),Price (Euro),Laptop_ID
2.4,4,1TB HDD,2.4,384.0,55
1.8,8,256GB SSD,2.13,767.8,56
2.0,4,128GB SSD,1.91,439.0,57
2.5,4,256GB SSD,2.0,586.19,58
2.8,16,256GB SSD +  2TB HDD,2.43,2449.0,59
2.0,4,256GB SSD,2.0,415.0,60
1.8,16,256GB SSD +  2TB HDD,2.8,1299.0,61
1.6,8,256GB SSD,1.7,879.0,62
2.7,8,256GB SSD,1.7,599.0,63
1.6,8,256GB SSD,1.4,941.0,64
2.5,8,256GB SSD,1.86,690.0,65
2.8,16,512GB SSD,1.8,1983.0,66
2.0,4,500GB HDD,1.86,438.69,67
1.6,4,32GB SSD,1.44,229.0,68
2.5,4,1TB HDD,1.9,549.0,69
2.8,12,1TB HDD,3.0,949.0,70
2.5,4,128GB SSD,1.252,1089.0,71
1.8,8,256GB SSD,1.4,955.0,72
1.8,8,256GB SSD,2.2,870.0,73
2.5,8,128GB SSD +  1TB HDD,2.7,1095.0,74
2.0,8,1TB HDD,2.1,389.0,75
2.8,8,1TB HDD,2.2,949.0,76
2.5,8,2TB HDD,2.2,519.0,77
1.8,8,128GB SSD +  1TB HDD,2.02,855.0,78
2.7,4,1TB HDD,2.2,530.0,79
1.6,8,128GB SSD +  1TB HDD,2.5,977.0,80
1.6,8,256GB SSD,1.88,1096.16,81
1.3,8,512GB SSD,0.92,1510.0,82
1.6,8,256GB SSD,1.63,860.0,83
2.5,4,128GB SSD,2.2,399.0,84
3.0,4,1TB HDD,2.1,395.0,85
2.8,16,128GB SSD +  1TB HDD,2.65,1349.0,86
1.8,8,256GB SSD,1.83,699.0,87
2.5,8,256GB SSD,1.96,598.99,88
2.8,16,128GB SSD +  1TB HDD,2.2,1449.0,89
1.8,8,256GB SSD,1.21,1649.0,90
3.0,8,1TB HDD,2.45,699.0,91
1.8,8,1TB HDD,2.2,689.0,92
1.8,16,512GB SSD,1.49,1197.0,93
2.5,8,256GB SSD,2.65,1195.0,94
2.7,8,256GB SSD,1.25,1049.0,95
1.6,8,256GB SSD,1.5,847.0,96
2.7,8,1TB HDD,2.2,599.9,97
2.0,4,256GB SSD,2.2,485.0,98
2.4,6,256GB SSD,2.0,577.0,99
2.8,12,128GB SSD +  1TB HDD,2.62,1249.0,100
2.7,8,256GB SSD,1.91,719.0,101
1.5,4,500GB HDD,2.1,349.0,102
1.6,8,1TB HDD,2.2,647.0,103
2.7,8,256GB SSD,1.38,1119.0,104
2.5,8,256GB SSD,1.252,1340.0,105
2.5,6,256GB SSD,1.58,659.0,106
2.0,4,1TB HDD,1.85,414.9,107
2.7,8,256GB SSD,1.3,1193.0,108
2.8,16,256GB SSD +  1TB HDD,2.2,1299.0,109
2.7,8,256GB SSD,1.58,1480.0,110
1.8,16,256GB SSD +  1TB HDD,1.5,1262.0,111
2.4,8,256GB SSD,1.23,1379.0,112
2.5,8,256GB SSD,1.37,1399.0,113
1.6,4,500GB HDD,1.63,722.0,114
1.6,8,256GB SSD,1.21,1629.0,115
1.6,8,256GB SSD,1.26,1398.99,116
1.8,8,512GB SSD,1.63,1084.0,117
1.8,8,256GB SSD +  1TB HDD,2.16,1130.33,118
2.0,4,1TB HDD,2.0,564.0,119
1.8,8,256GB SSD,1.7,1118.0,120
2.4,6,1TB HDD,2.1,479.0,121
2.8,16,256GB SSD +  2TB HDD,1.8,2241.5,122
2.5,8,256GB SSD,2.2,629.0,123
1.8,16,512GB SSD,2.5,1271.0,124
3.0,4,256GB SSD,2.1,451.0,125
1.6,4,500GB HDD,1.86,259.0,126
1.6,8,1TB HDD,1.63,812.0,127
1.5,4,64GB SSD,1.65,277.99,128
1.8,16,256GB SSD +  2TB HDD,2.8,1396.0,129
1.6,8,256GB SSD,2.5,928.0,130
2.5,8,1TB HDD,2.36,638.99,131
2.0,4,1TB HDD,2.2,449.0,132
1.8,8,256GB SSD,1.6,884.0,133
2.7,4,256GB SSD,2.2,572.0,134
2.7,8,1TB HDD,2.05,598.0,135
1.8,8,256GB SSD,1.63,988.0,136
1.1,4,1TB HDD,1.9,252.36,137
2.5,8,128GB SSD +  1TB HDD,3.0,938.0,138
2.5,4,1TB HDD,2.2,499.0,139
2.5,4,256GB SSD,1.32,699.0,140
2.7,4,1TB HDD,3.0,655.0,141
1.6,8,256GB SSD,1.75,1116.02,142
2.8,8,256GB SSD,2.4,869.0,143
2.3,4,500GB HDD,2.1,602.0,144
2.5,4,256GB SSD,1.86,369.0,145
1.8,8,256GB SSD,1.25,1099.0,146
1.2,8,512GB SSD,0.97,2014.0,147
1.1,4,1TB HDD,2.0,344.0,148
2.8,16,256GB SSD +  1TB HDD,2.9,2029.0,149
2.0,4,1TB HDD,2.1,447.0,150
2.8,16,512GB SSD,2.56,1249.26,151
2.8,8,1.0TB Hybrid,2.62,899.0,152
2.5,4,128GB SSD,1.9,498.0,153
2.8,16,256GB SSD +  1TB HDD,2.8,1890.0,154
2.7,4,256GB SSD,1.48,1082.0,155
1.6,6,256GB SSD,1.91,619.0,156
2.4,4,256GB SSD,1.74,629.0,157
1.6,8,256GB SSD,1.1,1315.0,158
1.8,8,256GB SSD,1.56,1049.0,159
2.2,4,500GB HDD,2.1,447.0,160
3.0,4,1TB HDD,2.03,403.0,161
1.6,4,256GB SSD,3.0,805.0,162
1.6,8,256GB SSD,2.13,728.0,163
2.8,16,256GB SSD,2.5,1079.0,164
1.1,4,1TB HDD,2.1,348.0,165
2.8,16,256GB SSD +  1TB HDD,2.4,1799.0,166
1.1,4,1TB HDD,2.1,363.51,167
2.8,8,128GB SSD +  1TB HDD,2.56,1060.49,168
1.6,8,256GB SSD,3.0,854.0,169
1.6,4,500GB HDD,1.49,754.0,170
2.5,8,256GB SSD,1.05,1349.0,171
2.5,6,2TB HDD,2.71,699.0,172
2.9,4,500GB HDD,2.2,309.0,173
2.4,4,500GB HDD,2.0,489.0,174
1.6,8,256GB SSD,2.5,923.0,175
2.4,8,1TB HDD,2.3,459.0,176
2.0,4,128GB SSD,2.1,449.0,177
2.9,32,512GB SSD +  1TB HDD,4.4,2799.0,178
2.5,8,128GB SSD +  1TB HDD,1.9,813.0,179
1.6,8,256GB SSD,1.29,1499.0,180
1.8,16,256GB SSD +  2TB HDD,2.02,1049.0,181
1.6,8,256GB SSD,1.23,1399.0,182
1.8,16,512GB SSD,1.4,1849.0,183
2.5,8,128GB SSD,2.0,793.0,184
1.6,8,256GB SSD,1.95,1199.0,185
1.8,16,512GB SSD,2.77,1549.0,186
2.8,16,512GB SSD,2.06,2397.0,187
2.5,8,256GB SSD,2.4,779.0,188
1.2,8,256GB SSD,1.12,989.0,189
1.8,8,128GB SSD +  1TB HDD,2.8,1085.0,190
2.7,16,1TB SSD,1.42,2824.0,191
1.1,4,32GB Flash Storage,1.3,260.0,192
2.5,8,256GB SSD,1.3,999.9,193
1.6,8,256GB SSD,2.8,698.0,194
1.8,8,1TB HDD,1.62,839.0,195
1.6,8,1TB HDD,2.5,914.0,196
2.9,32,1TB SSD,3.49,6099.0,197
1.6,8,512GB SSD,1.49,959.0,198
2.8,16,256GB SSD +  1TB HDD,3.35,1379.0,199
1.8,8,256GB SSD,2.5,1045.0,200
2.8,16,512GB SSD +  1TB HDD,2.65,1845.0,201
2.3,4,128GB SSD,2.1,493.0,202
2.7,8,1TB HDD,2.23,742.0,203
2.8,16,512GB SSD +  1TB HDD,3.2,1749.0,204
3.0,16,256GB SSD +  1TB HDD,2.8,3055.0,205
2.8,16,512GB SSD,2.4,1398.0,206
2.4,6,1TB HDD,2.3,439.0,207
1.8,8,256GB SSD,1.21,1949.0,208
1.8,8,256GB SSD,1.2,1449.0,209
2.5,8,256GB SSD,2.2,597.0,210
2.8,8,1TB HDD,2.4,779.0,211
2.8,16,256GB SSD +  1TB HDD,2.9,1407.0,212
2.0,4,500GB HDD,2.1,349.0,213
2.5,8,256GB SSD,2.2,549.0,214
2.7,8,512GB SSD,1.05,1499.0,215
1.8,8,256GB SSD,1.4,931.88,216
2.5,8,1TB HDD,2.8,589.0,217
1.8,8,256GB SSD,1.63,1031.0,218
1.6,8,256GB SSD,1.6,1149.0,219
1.8,16,512GB SSD,1.62,1279.0,220
1.6,8,256GB SSD,2.2,677.35,221
1.6,8,256GB SSD,1.74,899.0,222
2.5,8,256GB SSD,1.2,1363.0,223
1.6,8,1TB HDD,2.1,794.0,224
2.8,16,256GB SSD +  1TB HDD,4.42,2456.34,225
2.7,8,256GB SSD,2.2,832.0,226
2.7,16,1TB HDD,2.3,859.01,227
2.5,8,256GB SSD,2.0,769.0,228
2.5,8,256GB SSD +  500GB HDD,2.69,891.0,229
2.7,8,1TB HDD,1.9,1269.0,230
2.4,4,1TB HDD,2.37,398.99,231
1.5,4,500GB HDD,2.1,330.0,232
2.8,16,256GB SSD +  1TB HDD,3.2,1499.0,233
2.5,8,256GB SSD,1.6,859.0,234
2.3,8,256GB SSD,1.6,689.0,235
2.7,16,256GB SSD,2.36,899.0,236
2.0,4,1TB HDD,2.1,390.0,237
2.5,4,128GB SSD +  1TB HDD,2.2,575.0,238
2.9,32,512GB SSD +  1TB HDD,4.7,3890.0,239
2.5,8,256GB SSD,2.5,846.0,240
2.0,8,128GB SSD,2.2,589.0,241
1.8,8,128GB SSD +  1TB HDD,2.1,1145.0,242
2.7,8,128GB SSD +  1TB HDD,2.69,889.0,243
2.5,8,256GB SSD,2.56,879.0,244
2.7,8,256GB SSD,1.38,1079.0,245
1.8,8,128GB SSD +  2TB HDD,2.2,985.0,246
2.5,8,1TB HDD,2.04,559.0,247
2.9,16,256GB SSD,3.6,2999.0,248
1.6,4,500GB HDD,1.49,675.0,249
3.1,8,512GB SSD,1.37,2040.0,250
1.8,8,1TB HDD,2.08,819.0,251
2.8,16,256GB SSD +  1TB HDD,4.3,1799.0,252
3.0,4,1TB HDD,1.68,469.0,253
1.8,8,512GB SSD,1.37,1849.0,254
2.7,4,256GB SSD,3.0,702.0,255
1.6,8,256GB SSD,1.41,949.0,256
2.5,8,128GB SSD,1.91,445.9,257
1.8,16,1TB HDD,2.9,1059.0,258
2.8,16,512GB SSD +  1TB HDD,4.14,2499.0,259
2.8,8,512GB SSD,2.0,1699.0,260
1.8,8,128GB SSD +  1TB HDD,2.8,1142.0,261
2.0,4,256GB SSD,2.2,444.0,262
1.6,4,500GB HDD,2.1,722.0,263
2.5,4,1TB HDD,2.18,657.0,264
2.5,8,1TB HDD,2.24,565.0,265
1.6,8,256GB SSD,2.67,799.0,266
1.8,8,512GB SSD +  512GB SSD,1.1,1499.0,267
2.5,4,1TB HDD,2.2,467.0,268
1.8,8,1TB HDD,2.5,1018.0,269
1.8,8,256GB SSD,2.05,880.0,270
2.9,8,512GB SSD,1.37,1958.9,271
3.0,16,256GB SSD +  1TB HDD,3.2,1549.0,272
1.8,8,256GB SSD,2.14,735.07,273
2.6,16,512GB SSD,1.36,2499.0,274
2.5,8,500GB HDD,2.2,812.0,275
2.7,12,1TB HDD,2.3,713.07,276
1.8,8,128GB SSD +  1TB HDD,2.8,1099.0,277
1.8,8,1TB HDD,2.2,745.0,278
2.0,4,1TB HDD,2.8,489.0,279
1.8,8,2TB HDD,2.8,849.0,280
2.7,6,128GB SSD +  1TB HDD,2.8,859.0,281
2.0,4,1TB HDD,2.25,428.0,282
2.5,8,256GB SSD,2.5,829.0,283
2.5,6,256GB SSD,2.2,579.0,284
1.8,8,256GB SSD,3.0,951.0,285
2.7,12,1TB HDD,2.15,659.0,286
2.7,8,256GB SSD,1.95,1097.0,287
2.5,8,256GB SSD,1.7,977.0,288
2.8,16,256GB SSD +  1TB HDD,2.5,1179.0,289
2.7,8,1TB HDD,2.2,659.01,290
1.5,2,16GB SSD,2.19,199.0,291
2.8,8,1TB HDD,3.0,1187.0,292
2.0,8,1TB HDD,2.54,489.0,293
2.8,8,256GB SSD,2.0,1829.0,294
1.6,8,256GB SSD,2.05,739.0,295
2.8,8,1TB HDD,3.2,1299.0,296
2.8,8,256GB SSD,2.5,979.0,297
2.9,16,256GB SSD,3.42,2884.86,298
2.4,6,1TB HDD,2.4,499.0,299
2.7,16,512GB SSD,1.63,1468.0,300
2.4,4,128GB SSD,1.3,509.0,301
2.8,16,256GB SSD +  1TB HDD,2.9,2122.0,302
2.5,6,1TB HDD,2.8,649.0,303
2.5,8,2TB HDD,2.2,549.0,304
2.8,8,128GB SSD +  1TB HDD,2.5,1265.0,305
1.1,4,1TB HDD,2.2,359.99,306
2.8,16,256GB SSD,1.28,1975.0,307
2.5,8,256GB SSD,2.2,1043.0,308
2.5,8,128GB SSD +  1TB HDD,2.3,819.0,309
2.0,4,1TB HDD,1.86,469.0,310
2.5,8,256GB SSD,1.1,999.0,311
1.8,16,1TB SSD,1.21,2499.0,312
2.8,16,256GB SSD +  1TB HDD,2.8,2099.0,313
2.2,8,256GB SSD,2.23,469.0,314
1.1,2,32GB Flash Storage,1.1,275.0,315
1.6,8,128GB SSD +  1TB HDD,2.33,844.0,316
1.8,16,1TB SSD,1.29,2449.0,317
1.6,4,16GB Flash Storage,1.45,459.9,318
2.5,8,256GB SSD,1.95,980.0,319
1.6,4,128GB Flash Storage,1.4,485.0,320
2.7,8,256GB SSD,1.48,1292.0,321
2.5,4,1TB HDD,2.79,589.0,322
2.7,8,256GB SSD,2.0,1094.0,323
1.8,8,1TB HDD,2.1,902.0,324
2.7,8,256GB SSD,2.2,659.0,325
1.1,4,32GB Flash Storage,1.44,292.0,326
2.5,6,1TB HDD,2.23,549.0,327
2.7,8,256GB SSD,1.7,1049.9,328
2.7,8,256GB SSD,1.26,1335.0,329
2.8,32,1TB SSD,2.06,2639.0,330
2.8,8,256GB SSD +  1TB HDD,2.7,1199.0,331
2.5,8,256GB SSD,2.0,943.0,332
2.7,8,256GB SSD +  1TB HDD,2.0,1334.0,333
2.0,4,1TB HDD,1.85,449.0,334
2.8,8,256GB SSD,2.5,999.0,335
2.6,8,256GB SSD,1.48,1268.0,336
1.6,8,128GB SSD +  1TB HDD,1.9,1049.0,337
2.5,8,256GB SSD,1.84,1144.0,338
1.1,4,1TB HDD,2.0,274.99,339
1.6,8,256GB SSD,2.0,1142.75,340
1.6,4,500GB HDD,2.2,274.9,341
3.6,12,2TB HDD,2.2,899.0,342
2.4,8,1TB HDD,2.1,716.0,343
1.8,16,512GB SSD,1.4,2099.0,344
1.8,8,256GB SSD,1.2,1579.0,345
2.8,16,256GB SSD +  2TB HDD,2.4,1129.0,346
1.6,2,32GB Flash Storage,1.44,279.0,347
1.9,16,512GB SSD +  256GB SSD,1.88,1607.96,348
1.1,4,32GB Flash Storage,1.5,375.0,349
1.6,8,1TB HDD,1.9,663.0,350
2.8,16,512GB SSD,2.06,2027.42,351
2.7,8,256GB SSD,1.84,1304.0,352
2.8,8,128GB SSD +  1TB HDD,2.7,1409.0,353
2.8,8,256GB SSD,2.6,1738.27,354
2.5,16,512GB SSD,2.4,1403.0,355
1.8,8,128GB SSD +  2TB HDD,2.02,970.9,356
1.1,4,1TB HDD,2.2,321.99,357
2.5,8,1TB HDD,2.65,999.0,358
2.5,8,2TB HDD,2.36,557.37,359
2.6,8,256GB SSD,1.36,1427.0,360
2.0,4,500GB HDD,1.86,439.0,361
2.5,8,256GB SSD,2.0,945.0,362
2.5,6,128GB SSD +  1TB HDD,2.8,719.0,363
2.5,8,1TB HDD,1.86,639.0,364
2.0,8,256GB SSD,2.2,499.0,365
1.6,8,2TB HDD,2.04,389.0,366
1.6,8,128GB SSD +  1TB HDD,2.8,1085.0,367
2.5,8,128GB SSD +  1TB HDD,2.4,809.0,368
2.7,8,256GB SSD,2.33,899.0,369
2.7,8,256GB SSD,1.36,1750.0,370
2.7,12,512GB SSD +  2TB HDD,2.26,1099.0,371
3.0,4,128GB SSD,2.1,426.0,372
3.0,16,256GB SSD +  1TB HDD,3.25,2199.0,373
2.2,4,128GB SSD,2.6,489.0,374
1.8,8,256GB SSD,1.62,869.01,375
3.0,4,256GB SSD,1.91,488.99,376
1.1,4,128GB SSD,1.59,553.0,377
1.6,4,500GB HDD,1.8,309.0,378
1.1,4,32GB Flash Storage,1.5,286.0,379
2.8,8,1TB HDD,2.4,846.0,380
2.8,8,128GB SSD +  1TB HDD,3.35,1191.0,381
2.0,4,128GB SSD,1.85,403.5,382
2.8,8,128GB SSD +  1TB HDD,2.3,1655.0,383
2.5,8,256GB SSD,1.5,1099.0,384
2.7,16,512GB SSD,1.1,1748.9,385
2.7,8,512GB SSD,1.13,2282.0,386
2.4,4,128GB SSD,1.5,549.0,387
2.6,8,500GB HDD,2.23,1369.0,388
2.7,8,256GB SSD,2.0,2135.0,389
2.7,16,512GB SSD,1.42,2509.0,390
2.8,8,1TB HDD,3.0,1039.0,391
2.8,16,256GB SSD +  1TB HDD,3.0,1591.0,392
1.6,12,1TB HDD,2.2,693.99,393
2.8,8,256GB SSD,2.7,1349.0,394
2.7,8,256GB SSD,2.33,778.87,395
3.0,4,256GB SSD,1.91,499.0,396
1.8,8,256GB SSD,2.1,1229.56,397
2.5,8,256GB SSD,1.9,938.0,398
2.8,8,256GB SSD,1.78,2712.0,399
2.7,16,1TB SSD,1.13,2625.0,400
1.1,4,1TB HDD,2.2,306.0,401
2.8,16,256GB SSD +  1TB HDD,2.9,1529.0,402
1.6,8,256GB SSD +  1TB HDD,2.1,1144.5,403
2.8,8,256GB SSD,2.5,879.0,404
2.8,16,256GB SSD +  1TB HDD,2.8,2249.0,405
2.7,8,512GB SSD,1.1,1873.0,406
2.5,16,512GB SSD,1.2,1747.0,407
2.8,8,512GB SSD,1.36,1680.0,408
2.0,4,500GB HDD,2.2,409.0,409
1.1,2,32GB Flash Storage,1.15,304.45,410
2.8,8,512GB SSD,2.67,1925.0,411
2.8,8,512GB SSD,1.7,1943.0,412
2.0,4,1TB HDD,2.1,469.0,413
2.5,8,256GB SSD,1.6,789.01,414
2.5,8,256GB SSD,1.27,928.0,415
2.5,4,256GB SSD,2.3,598.9,416
2.0,4,128GB SSD,1.65,689.0,417
2.5,8,256GB SSD,1.43,1500.0,418
2.5,8,1TB HDD,2.14,539.95,419
1.8,8,256GB SSD,1.75,1215.38,420
2.8,16,512GB SSD,2.0,1899.0,421
1.1,6,64GB Flash Storage,1.4,449.0,422
2.9,8,256GB SSD,2.31,1427.0,423
2.4,8,1TB HDD,2.3,597.0,424
2.9,16,256GB SSD +  1TB HDD,4.42,2799.0,425
2.8,8,128GB SSD +  1TB HDD,2.62,1159.0,426
1.8,8,256GB SSD +  2TB HDD,2.02,1142.4,427
2.8,8,256GB SSD,1.6,1099.0,428
2.8,12,256GB SSD +  1TB HDD,3.35,1999.0,429
1.1,4,32GB SSD,1.16,299.0,430
1.6,4,16GB Flash Storage,1.15,269.0,431
2.7,8,256GB SSD,1.4,1010.0,432
2.7,4,128GB SSD,1.7,599.0,433
2.8,16,512GB SSD,2.3,2445.0,434
2.9,16,512GB SSD,2.5,2449.0,435
3.2,8,256GB SSD +  1TB HDD,3.2,1695.0,436
1.6,4,500GB HDD,2.1,347.0,437
1.3,16,512GB SSD,1.1,2199.0,438
2.7,24,512GB SSD,1.32,2382.0,439
2.5,4,256GB SSD,2.0,559.0,440
2.5,8,1TB HDD,2.8,519.0,441
1.6,4,256GB SSD,2.2,749.0,442
2.5,8,256GB SSD,1.36,1429.0,443
1.1,4,128GB SSD,2.2,349.0,444
2.8,8,128GB SSD +  1TB HDD,2.2,1099.0,445
2.8,8,256GB SSD,1.64,1179.0,446
2.5,4,500GB HDD,2.4,441.8,447
3.0,8,64GB Flash Storage +  1TB HDD,2.23,1993.0,448
2.5,8,256GB SSD,2.2,1027.74,449
2.5,16,512GB SSD,1.25,2589.0,450
2.5,8,128GB SSD,1.91,589.0,451
2.7,16,256GB SSD,2.17,1975.0,452
2.9,8,512GB SSD,2.31,1534.0,453
2.5,8,256GB SSD,1.65,1345.0,454
1.8,8,128GB SSD +  1TB HDD,2.36,979.0,455
1.6,4,500GB HDD,1.47,479.0,456
2.7,8,1TB HDD,4.42,2046.0,457
2.2,4,128GB SSD,1.252,989.0,458
2.5,8,256GB SSD,1.25,1799.0,459
2.0,8,256GB SSD,2.5,639.9,460
2.0,4,1TB HDD,2.23,544.0,461
1.6,4,128GB SSD,1.4,435.0,462
2.5,8,1TB HDD,2.37,749.0,463
2.7,8,512GB SSD,1.5,799.0,464
2.9,8,256GB SSD,2.67,2090.0,465
1.1,4,500GB HDD,2.0,304.0,466
2.0,4,500GB HDD,2.2,469.0,467
1.6,8,2TB HDD,2.02,759.0,468
2.8,12,1TB HDD,3.78,1699.0,469
2.6,12,256GB SSD,1.4,1858.0,470
1.8,8,512GB SSD,1.29,1999.0,471
2.5,8,500GB HDD,1.9,1154.0,472
1.2,8,128GB SSD,1.1,1275.0,473
1.6,8,256GB SSD,1.42,1841.85,474
2.6,12,128GB SSD +  1TB HDD,2.06,1299.0,475
2.3,8,128GB SSD,1.79,740.0,476
2.8,8,256GB SSD,1.78,2408.0,477
2.5,8,180GB SSD,1.7,1364.0,478
1.6,8,1TB HDD,2.2,675.0,479
2.5,8,256GB SSD,1.05,1672.0,480
1.8,8,512GB SSD,2.16,1262.0,481
2.4,4,1TB HDD,2.18,586.6,482
1.6,4,128GB SSD,1.49,726.0,483
1.44,4,64GB Flash Storage,1.89,248.9,484
2.0,4,128GB SSD,2.3,565.0,485
1.6,8,256GB SSD,1.75,1049.0,486
2.7,16,512GB SSD,2.17,2338.0,487
2.8,16,512GB SSD,2.06,1899.0,488
2.7,16,512GB SSD,1.36,1798.0,489
2.7,16,512GB SSD,0.91,1950.0,490
2.5,8,256GB SSD,2.3,1011.99,491
2.7,32,512GB SSD,1.05,2799.0,492
2.8,8,128GB SSD +  1TB HDD,1.99,1350.0,493
2.5,8,1TB HDD,2.2,579.0,494
2.6,24,256GB SSD +  1TB HDD,4.33,1269.0,495
2.3,8,180GB SSD,1.3,1099.0,496
1.8,8,256GB SSD,2.17,898.9,497
2.8,8,1TB SSD,1.48,1749.0,498
2.4,8,256GB SSD,1.4,949.0,499
2.5,8,256GB SSD,2.3,911.0,500
1.1,4,64GB Flash Storage,1.2,340.0,501
2.5,8,256GB SSD,1.91,618.99,502
1.6,8,256GB SSD,1.4,1599.0,503
1.1,4,500GB HDD,2.1,299.0,504
1.6,4,16GB SSD,1.25,265.0,505
2.5,8,256GB SSD,1.44,949.0,506
2.7,8,256GB SSD +  1TB HDD,2.0,1224.0,507
1.6,4,1TB HDD,2.2,613.0,508
2.7,8,512GB SSD,1.34,1323.0,509
2.8,8,256GB SSD +  1TB HDD,2.4,1149.0,510
2.5,8,128GB SSD,1.29,899.0,511
2.7,4,500GB HDD,2.2,639.0,512
2.5,8,1TB HDD,2.18,836.0,513
1.8,16,256GB SSD +  2TB HDD,2.2,1219.24,514
1.8,16,256GB SSD,1.95,1399.95,515
1.1,2,32GB Flash Storage,1.1,245.0,516
1.6,4,1TB HDD,2.04,521.47,517
2.8,24,512GB SSD,2.24,2968.0,518
2.5,8,256GB SSD,2.04,889.0,519
2.8,16,256GB SSD +  1TB HDD,3.0,1504.0,520
2.8,8,256GB SSD +  1TB HDD,3.2,1399.0,521
2.7,8,256GB SSD,1.32,1399.0,522
2.6,8,256GB SSD,1.64,1279.73,523
2.0,4,128GB SSD,1.63,689.0,524
1.6,8,128GB SSD +  1TB HDD,2.8,889.0,525
2.3,8,256GB SSD,2.02,1340.0,526
2.7,4,1TB HDD,2.2,799.0,527
2.0,8,2TB HDD,2.2,459.0,528
2.5,4,500GB HDD,2.3,585.0,529
2.8,8,256GB SSD,1.9,1377.0,530
2.8,16,128GB SSD +  1TB HDD,4.42,3012.77,531
2.5,8,500GB HDD,2.0,860.0,532
2.7,8,256GB SSD +  1TB HDD,2.0,1299.0,533
1.1,4,32GB SSD,1.2,369.0,534
2.5,8,128GB SSD +  1TB HDD,2.3,1649.0,535
2.8,8,256GB SSD,1.93,1369.0,536
1.6,8,256GB SSD,2.2,797.41,537
1.6,4,256GB SSD,1.86,398.99,538
2.8,12,1TB HDD,2.62,1799.0,539
2.7,8,256GB SSD,1.87,859.0,540
1.8,8,256GB SSD,1.2,1399.0,541
2.0,4,128GB SSD,1.6,735.87,542
2.7,8,256GB SSD,1.34,1145.0,543
2.5,8,1TB HDD,2.4,798.0,544
1.8,4,500GB HDD,2.0,349.0,545
2.4,4,128GB SSD,2.1,705.5,546
2.5,4,500GB HDD,1.87,785.0,547
2.3,4,1TB HDD,2.15,462.35,548
2.0,4,500GB HDD,1.86,397.0,549
2.7,8,512GB SSD,1.99,1729.0,550
2.0,4,128GB SSD,2.2,499.0,551
2.5,8,256GB SSD,1.9,1116.99,552
2.8,16,256GB SSD +  1TB HDD,4.42,2699.0,553
2.0,8,1TB HDD,2.65,544.15,554
2.7,8,1TB HDD,2.63,1280.0,555
1.1,4,500GB HDD,2.0,224.0,556
1.44,4,32GB Flash Storage,1.35,255.0,557
2.7,6,128GB SSD +  1TB HDD,2.8,949.0,558
