Company,Product,TypeName,ScreenResolution,CPU_Company,CPU_Type,GPU_Company,GPU_Type,OpSys,Laptop_ID
HP,250 G6,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,39
HP,ProBook 450,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce 930MX,Windows 10,40
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 620,Linux,41
Dell,Inspiron 7577,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,42
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,1366x768,Intel,Core i5 7200U,Nvidia,GeForce 940MX,Linux,43
Acer,Aspire A515-51G,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,44
Dell,Inspiron 7773,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce 150MX,Windows 10,45
Apple,MacBook Pro,Ultrabook,IPS Panel Retina Display 2560x1600,Intel,Core i5,Intel,Iris Graphics 540,macOS,46
Lenovo,IdeaPad 320-15ISK,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,No OS,47
Asus,Rog Strix,Gaming,Full HD 1920x1080,AMD,Ryzen 1700,AMD,Radeon RX 580,Windows 10,48
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,AMD,Radeon R5 M430,Windows 10,49
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,1366x768,Intel,Pentium Quad Core N4200,Nvidia,GeForce 920MX,Windows 10,50
Lenovo,Yoga Book,2 in 1 Convertible,IPS Panel Touchscreen 1920x1200,Intel,Atom x5-Z8550,Intel,HD Graphics 400,Android,51
Acer,Aspire A515-51G,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce MX150,Windows 10,52
HP,255 G6,Notebook,Full HD 1920x1080,AMD,A6-Series 9220,AMD,Radeon R4 Graphics,Windows 10,53
HP,ProBook 430,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,54
Acer,Aspire 3,Notebook,1366x768,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,55
Dell,Inspiron 3576,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 520,Windows 10,56
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,57
Asus,VivoBook Max,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,58
MSI,GS73VR 7RG,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,59
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,Linux,60
Dell,Inspiron 5770,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,61
Dell,Vostro 5471,Ultrabook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,62
Lenovo,IdeaPad 520S-14IKB,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,Intel,HD Graphics 620,No OS,63
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,64
HP,250 G6,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,65
Asus,ZenBook Pro,Ultrabook,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,66
HP,250 G6,Notebook,1366x768,Intel,Core i3 6006U,AMD,Radeon 520,Windows 10,67
HP,Stream 14-AX040wm,Notebook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400,Windows 10,68
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,69
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Linux,70
Microsoft,Surface Laptop,Ultrabook,Touchscreen 2256x1504,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10 S,71
Dell,Inspiron 5370,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,72
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,73
MSI,GL72M 7RDX,Gaming,Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Windows 10,74
Acer,Aspire E5-475,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,75
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,76
Lenovo,IdeaPad 320-15IKBN,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,No OS,77
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,78
Acer,Aspire A515-51G-32MX,Notebook,Full HD 1920x1080,Intel,Core i3 7130U,Nvidia,GeForce MX130,Windows 10,79
HP,ProBook 470,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce 930MX,Windows 10,80
Dell,Latitude 5590,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,81
Apple,"MacBook 12""",Ultrabook,IPS Panel Retina Display 2304x1440,Intel,Core i5,Intel,HD Graphics 615,macOS,82
HP,ProBook 440,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,HD Graphics 620,Windows 10,83
Lenovo,IdeaPad 320-15AST,Notebook,Full HD 1920x1080,AMD,A6-Series 9220,AMD,R4 Graphics,Windows 10,84
Acer,Aspire 3,Notebook,1366x768,AMD,A9-Series 9420,AMD,Radeon R5,Windows 10,85
Dell,Inspiron 7577,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,86
HP,Pavilion 15-CK000nv,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce GTX 940MX,Windows 10,87
HP,250 G6,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,88
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,89
Dell,XPS 13,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,90
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,Full HD 1920x1080,AMD,FX 9830P,AMD,Radeon RX 560,Windows 10,91
Acer,Aspire 5,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce MX150,Windows 10,92
HP,Probook 430,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,93
Dell,Inspiron 7577,Gaming,Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1060,Windows 10,94
Asus,Zenbook UX430UA,Ultrabook,Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,95
Acer,Spin 5,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,96
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,AMD,Radeon R5 M430,Linux,97
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,AMD,Radeon R5 M430,Linux,98
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,Full HD 1920x1080,Intel,Core i3 7100U,Nvidia,GeForce 920M,Windows 10,99
HP,Omen 15-ce007nv,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,100
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,Full HD 1920x1080,Intel,Core i7 7500U,AMD,Radeon 530,Windows 10,101
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,Full HD 1920x1080,AMD,E-Series E2-9000e,AMD,Radeon R2,Windows 10,102
Dell,Inspiron 3576,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 520,Linux,103
HP,Envy 13-ad009n,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce MX150,Windows 10,104
Microsoft,Surface Laptop,Ultrabook,Touchscreen 2256x1504,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10 S,105
HP,Pavilion 14-BK001nv,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce 940MX,Windows 10,106
Lenovo,Ideapad 310-15ISK,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,107
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Nvidia,GeForce 940MX,Windows 10,108
MSI,GP62M 7REX,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,109
Lenovo,Thinkpad T470,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,110
Asus,VivoBook S15,Ultrabook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce MX150,Windows 10,111
Dell,XPS 13,Ultrabook,Quad HD+ / Touchscreen 3200x1800,Intel,Core i7 7560U,Intel,Iris Plus Graphics 640,Windows 10,112
Lenovo,ThinkPad Yoga,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,113
HP,Probook 440,Notebook,IPS Panel 1366x768,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,114
Dell,XPS 13,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,115
HP,Spectre x360,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,116
HP,Probook 440,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,117
Dell,Inspiron 7570,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce 940MX,Windows 10,118
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,Nvidia,GeForce 920MX,Windows 10,119
Asus,VivoBook S15,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce 940MX,Windows 10,120
Acer,Spin 3,Notebook,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,121
MSI,GS63VR 7RG,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,122
Lenovo,IdeaPad 320-15IKBN,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce 940MX,No OS,123
HP,Probook 470,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce 930MX,Windows 10,124
Acer,Aspire 3,Notebook,1366x768,AMD,A9-Series 9420,AMD,Radeon R5,Windows 10,125
HP,250 G6,Notebook,1366x768,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400,No OS,126
HP,Probook 440,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,127
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,1366x768,AMD,E-Series 6110,AMD,Radeon R2,Windows 10 S,128
Dell,Inspiron 5770,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,129
HP,ProBook 470,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,130
Dell,Inspiron 5567,Notebook,1366x768,Intel,Core i5 7200U,AMD,Radeon R7 M445,Windows 10,131
Dell,Inspiron 3567,Notebook,Full HD 1920x1080,Intel,Core i3 6006U,AMD,Radeon R5 M430,Windows 10,132
Acer,Swift 3,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,133
Acer,Aspire A515-51G-37JS,Notebook,Full HD 1920x1080,Intel,Core i3 7130U,Nvidia,GeForce MX130,Windows 10,134
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,1366x768,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,135
HP,Probook 440,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,136
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,No OS,137
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,Windows 10,138
Lenovo,IdeaPad 320-15IKBN,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce 920MX,No OS,139
HP,Envy 13-AD007nv,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,140
Acer,Aspire 5,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i3 7130U,Nvidia,GeForce MX130,Windows 10,141
Lenovo,ThinkPad E480,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon RX 550,Windows 10,142
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050M,No OS,143
Toshiba,Satellite Pro,Notebook,1366x768,Intel,Core i5 6200U,Intel,HD Graphics 520,Windows 10,144
HP,255 G6,Notebook,1366x768,AMD,A6-Series 9220,AMD,Radeon R4 Graphics,Windows 10,145
Asus,ZenBook UX430UA,Ultrabook,Full HD 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,146
HP,EliteBook Folio,Ultrabook,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core M 6Y75,Intel,HD Graphics 515,Windows 10,147
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,Full HD 1920x1080,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,148
MSI,GE72MVR 7RG,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070,Windows 10,149
Acer,Aspire A315-51,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,150
Dell,Inspiron 5577,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,151
Dell,Inspiron 7567,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,152
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,153
MSI,GE73VR 7RE,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,154
HP,EliteBook 840,Ultrabook,Full HD 1920x1080,Intel,Core i5 7500U,Intel,HD Graphics 620,Windows 10,155
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 520,Windows 10,156
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,157
Asus,ZenBook Flip,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,Intel,HD Graphics 620,Windows 10,158
Dell,Inspiron 5579,2 in 1 Convertible,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,159
Toshiba,Satellite Pro,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,160
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,1366x768,AMD,A9-Series 9420,AMD,Radeon R5 M420,Windows 10,161
Acer,Aspire A517-51G,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce MX150,Windows 10,162
Dell,Inspiron 3576,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,AMD,Radeon 520,Windows 10,163
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti,Windows 10,164
Acer,Aspire A315-31,Notebook,1366x768,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,165
MSI,GE63VR 7RE,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060,Windows 10,166
Acer,Aspire 3,Notebook,1366x768,Intel,Pentium Quad Core N4200,Intel,HD Graphics 505,Windows 10,167
Dell,Inspiron 5577,Gaming,Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,168
Acer,Aspire A517-51G,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce MX150,Windows 10,169
HP,ProBook 430,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,170
Huawei,MateBook X,Ultrabook,IPS Panel Full HD 2160x1440,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,171
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,AMD,Radeon 520,Windows 10,172
Lenovo,IdeaPad 320-15AST,Notebook,1366x768,AMD,A6-Series 9220,AMD,Radeon R4 Graphics,No OS,173
Toshiba,Satellite Pro,Notebook,1366x768,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,174
HP,ProBook 470,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce 930MX,Windows 10,175
Dell,Inspiron 3567,Notebook,1366x768,Intel,Core i3 7100U,Intel,HD Graphics 620,Windows 10,176
Acer,Aspire A315-51,Notebook,1366x768,Intel,Core i3 6006U,Intel,HD Graphics 520,Windows 10,177
MSI,GT80S 6QF-074US,Gaming,Full HD 1920x1080,Intel,Core i7 6920HQ,Nvidia,GTX 980 SLI,Windows 10,178
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,Full HD 1920x1080,Intel,Core i5 7200U,AMD,R17M-M1-70,Windows 10,179
HP,Spectre x360,2 in 1 Convertible,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,180
Dell,Inspiron 5570,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Linux,181
Dell,XPS 13,Ultrabook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,182
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,183
Toshiba,Satellite Pro,Notebook,1366x768,Intel,Core i5 7200U,Intel,HD Graphics 620,Windows 10,184
Xiaomi,Mi Notebook,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce MX150,No OS,185
Dell,Inspiron 7773,Notebook,Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce 150MX,Windows 10,186
Dell,XPS 15,Notebook,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,187
Lenovo,Legion Y520-15IKBN,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050,No OS,188
Acer,Swift 7,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i5 7Y54,Intel,HD Graphics 615,Windows 10,189
Dell,Inspiron 5770,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,AMD,Radeon 530,Windows 10,190
Lenovo,Thinkpad Yoga,2 in 1 Convertible,Touchscreen 2560x1440,Intel,Core i7 7500U,Intel,HD Graphics 620,Windows 10,191
Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,IPS Panel Full HD 1920x1080,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500,Windows 10,192
Xiaomi,Mi Notebook,Ultrabook,IPS Panel Full HD 1920x1080,Intel,Core i5 7200U,Nvidia,GeForce MX150,No OS,193
Lenovo,IdeaPad 320-17IKBR,Notebook,1600x900,Intel,Core i5 8250U,Nvidia,GeForce MX150,No OS,194
Dell,Inspiron 5379,2 in 1 Convertible,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i7 8550U,Intel,UHD Graphics 620,Windows 10,195
HP,ProBook 470,Notebook,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,Nvidia,GeForce 930MX,Windows 10,196
Razer,Blade Pro,Gaming,4K Ultra HD / Touchscreen 3840x2160,Intel,Core i7 7820HK,Nvidia,GeForce GTX 1080,Windows 10,197
HP,ProBook 430,Notebook,Full HD 1920x1080,Intel,Core i5 8250U,Intel,UHD Graphics 620,Windows 10,198
HP,Omen 17-W295,Gaming,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050,Windows 10,199
HP,Probook 470,Notebook,Full HD 1920x1080,Intel,Core i7 8550U,Nvidia,GeForce 930MX,Windows 10,200
